ordering,reachability,predecessor_,core_distances
3196,1.194806395070544,723,1.323116096577721
438,0.353000433231545,1080,0.595747326569975
1161,1.320017533335609,1962,1.98260981462111
2013,0.683489735956082,2977,1.238108155026261
3548,1.991841814484172,6807,3.033894935457641
4753,1.249776180894416,2253,1.753193618450472
4762,1.217944964532742,6675,1.39312304420649
5291,0.411858007682445,2649,0.681446019130698
5400,0.0,13,0.0
392,2.100770564395372,5837,2.965884451986934
3825,0.599315644731222,5687,0.995901832603108
236,1.109604368650046,4745,1.20512818416473
3939,0.807393709106381,6253,1.179262350020941
4256,0.626656275939309,4264,1.139044988879218
5652,1.240832699705234,356,1.520770417247262
6036,0.12860876330031,3024,0.254779176557885
6070,1.194806395070544,723,1.382069040369459
2504,0.12336192013939,6133,0.244174650999602
3517,0.840434691207842,3623,1.18689132564454
1516,0.649785256855157,6285,0.998740484363182
612,1.203073031396398,4841,1.59538541571494
3418,1.313713703808069,6341,1.634737214622124
4014,1.476069476551744,2790,2.157197105002782
3275,0.281808277728887,6542,0.560375681816417
2273,0.2608956293807,2100,0.368736869742173
4015,0.932079431061983,2491,1.258811909845553
5819,0.794103771630229,2059,1.232569039632106
6617,1.501536916890033,3720,2.311892251283493
6606,0.505538318398561,5079,0.781767463080318
2632,0.819677710279726,5675,1.181108618302677
6492,0.234298699636147,7215,0.401973677252329
2139,0.0,13,0.0
4820,0.0,13,0.0
6293,0.426378852928357,2609,0.689972853863909
1952,0.490994456191488,2051,0.788841452572248
3342,0.0,13,0.0
4748,0.0,13,0.0
2543,1.537404021178002,5111,2.141549383445494
4114,3.785227676019939,1131,6.711063021624782
4585,0.713071657595882,705,0.922520456540927
6258,1.186894765148946,6099,1.556320908749052
621,1.187908146441395,1763,1.728927774380477
2226,0.695826582207668,733,1.020799552911014
5019,0.67862567731426,5021,0.91495024462877
7269,0.029686244132228,549,0.056539326485173
6682,1.242588696896494,3245,1.601113060075258
5871,2.502733078528918,6255,4.147217949383056
4325,2.567905795443538,3055,3.905468930774585
4492,0.681989335777603,391,0.825247508738078
2237,1.057698363426846,2635,1.541798260088785
1455,0.615503164804426,6250,1.000402771376287
317,0.617126314521333,707,0.969147603345656
453,0.72881127497461,587,0.949555033175881
548,0.0,13,0.0
2146,0.349103593088298,6442,0.65902446937352
4906,1.215425810289748,4862,1.914258576398843
4943,1.194806395070544,723,1.413064593495894
5243,0.0,13,0.0
1851,0.008626958946679,6586,0.015841014671082
2548,2.028876874417997,743,3.201189088793076
1217,1.267768502636384,4313,1.620690704906517
642,0.43820509104484,3398,0.70003086209748
3603,0.423183550073252,1274,0.712074308835184
5550,2.858884812020694,6366,4.638542063499661
4565,1.42763244309105,1304,2.184533158632277
5105,0.709683477987854,4335,1.167795029540016
1285,1.55605023996959,572,2.801131812493988
1545,1.196639816748961,5648,1.627836891963616
2731,0.48329493456652,1932,0.728283988981176
4257,1.116709377314181,4666,1.365257311625606
3280,0.696216531718145,2800,0.825816481444626
2856,0.217163774891477,2154,0.381922345030307
513,1.109565737502044,1586,1.135772838407756
5234,1.194806395070544,723,1.28653597758952
5634,0.892886126272224,5382,1.263958856057604
6658,0.662830992084848,4429,0.979825563954611
5260,0.978462157609357,6989,1.395392869905333
3059,1.278256091203731,6118,1.823180389156236
6974,1.249552329866398,2183,1.61663118929825
3996,0.0,13,0.0
587,1.027235112019119,2513,1.645835728505848
1007,0.0,13,0.0
3120,0.713031153626754,7043,0.861555582445199
3619,1.194806395070544,723,1.28913920408622
4034,0.922044966069769,5934,1.23493813553539
4237,1.194806395070544,723,1.526416636214825
5102,0.730736210602752,1922,1.05374103920449
6030,1.321630564886796,773,1.676537199169436
746,0.50117880974719,4467,0.85207903806714
3880,0.257950521707757,3596,0.498292401259593
5420,1.719022993621009,1981,2.516839770279862
6508,0.0,13,0.0
1730,1.794185257181939,6141,2.93717984980929
4184,0.696216531718145,2800,0.913213256619723
4540,0.00504745701022,742,0.008952743695753
2425,0.681989335777603,391,0.94553926610692
3150,1.337153561300351,5147,1.758388328056362
4368,1.267768502636384,4313,1.561318486554822
6421,0.689734816228881,654,0.965275396992076
7131,0.669525713547335,5021,0.970885387403766
2125,0.573104258306441,5464,0.796316440602873
2833,2.358877844893466,5087,3.665372423898906
3151,1.299100096223272,356,1.626435279982402
5101,0.904928371653702,5819,1.35746005764033
5880,0.525741683685835,591,0.848656991929168
5887,0.778154495143558,6040,1.20062744229547
6770,1.109604368650046,4745,1.281787886856545
5829,0.0,13,0.0
3931,0.454670262509419,6051,0.748548122328396
6531,2.852540128520206,3945,4.279869100371384
2622,1.112283374754784,1849,1.334448044191834
1570,1.109604368650046,4745,1.400982867565263
1761,1.10955636396411,5783,1.194527206024096
4560,1.001800038869863,4085,1.491807375417315
4657,0.998014646945556,1011,1.345777860326888
3481,1.49176108875217,5625,2.090571475262732
3594,0.91460894923394,984,1.454209613811056
3757,0.88760266311372,236,1.249202125898034
4872,0.0,13,0.0
2220,1.194806395070544,723,1.612840563145904
2288,0.327564558342796,267,0.558251157316792
2440,4.137448784489602,2099,6.90004787324268
3597,0.247457270958071,1600,0.4594325980536
3638,1.42202015780391,3639,2.040358877922151
4676,2.381300765876102,868,4.046056006564564
5189,0.0,13,0.0
5500,1.242688165115906,104,1.618103439747573
6827,0.104251402601,6709,0.201095756810161
7077,1.373309771972907,5677,2.202167475607279
7087,1.27119276578039,6971,1.683759138939236
6516,2.456268903921583,4221,4.206335854586094
1087,1.397933624404718,4488,2.422034353149828
5850,0.669525713547335,5021,0.959017122128893
4408,0.692196505748816,2601,0.9379785573148
2864,1.951971990357239,3684,3.376472643154735
4224,0.217163774891477,2154,0.381922345030307
3936,1.136005804127035,5262,1.775518434554758
5934,1.109604368650046,4745,1.3558211093998
5161,1.826291474883498,3700,2.664088803783392
7003,1.343063300072117,1310,2.011880759903408
6687,0.0,13,0.0
4656,0.39445404096058,769,0.651232510657273
5024,1.109650845874968,826,1.38680988084823
749,1.874265794399461,4249,2.752681072060086
2585,0.970313093428838,6132,1.547754519183138
2743,1.946569600704609,5078,3.029701069168796
5935,1.179095422292244,2501,1.586490891225598
2760,1.103258450652271,3514,1.748165209312785
984,1.398790632605312,3696,1.811339626255778
5293,0.068910114572467,13,0.068910114572467
3239,1.194806395070544,723,1.291361023990106
1367,1.841186672447074,4613,3.218070483626004
2531,3.492151103535802,6471,5.526827286395975
3635,1.751655654188911,1772,2.566513261519572
4747,1.194806395070544,723,1.304730609852206
6762,0.48329493456652,1932,0.842081189928836
7205,0.0,13,0.0
2998,0.82803971155399,2131,1.217488880630898
4196,1.250821761644901,5385,1.77507741653879
4687,0.247457270958071,1600,0.4594325980536
5368,0.72881127497461,587,0.875951518440656
5512,0.973591639646976,2602,1.425494609023894
1201,2.986752807295158,790,5.056455827894545
3333,0.814447130894705,5866,1.281212837833283
6008,0.0,13,0.0
3768,0.62842790328296,5982,0.896128122615198
60,0.184369272996494,2532,0.35638186654285
1206,1.282337899896405,1388,1.812408124943232
