x,y
-5.034488,-11.814163
-39.233536,8.865075
-10.382827,-29.109722
-11.278531,-27.298792
-10.016485,-28.054203
-39.422363,-9.869163
0.34984368,-18.787544
-15.531338,-4.0112777
-0.5659702,-14.548787
-4.5694556,12.988881
-12.38716,-28.353226
-40.087616,-7.3327084
-4.34755,26.601387
18.733707,-12.248588
10.027397,25.438334
-12.644115,14.070074
-8.484784,-29.985523
-5.01772,-22.601303
3.5253537,12.308543
13.799555,10.260054
19.145603,17.892675
-4.3447304,-20.26123
0.89071226,-21.421112
0.42891407,-15.445951
-8.186231,-24.0252
15.417308,-22.238169
15.121757,0.13524064
24.712029,-20.872986
-4.5680003,-29.576542
14.900303,-21.33697
29.058052,21.712626
29.467312,14.583819
-6.7717953,8.164738
18.072575,9.033154
-1.0724609,-18.991901
-10.417293,-25.299032
-39.9136,8.959092
12.159466,23.005232
-1.115908,-26.88806
-19.986395,-17.372015
29.562542,-3.7877417
-40.48785,9.982878
-16.00305,-7.7637744
-3.4969242,-12.586259
14.937279,25.83993
-17.151636,14.576263
-39.2236,9.770463
15.524119,-13.860315
30.88898,-15.927566
-15.116028,14.417539
14.290607,8.514707
-42.17977,8.431092
7.510434,5.067954
-41.982414,9.287423
21.749521,-18.73268
19.087229,12.236149
-4.662775,-29.222942
-15.140723,-12.58313
-0.42736858,-22.80476
-2.5154784,27.567055
-22.494751,-8.019107
14.225585,7.952781
-21.182697,-6.14703
-2.472699,5.5698767
-41.994175,9.3134775
-18.373228,-21.530903
-18.311718,-22.122313
30.523258,0.34985417
-41.512455,11.179936
-32.95443,-12.701755
-18.591116,-20.706125
-42.087563,10.280538
-3.319753,-9.555741
-15.633889,14.263889
-16.668024,-6.5680256
27.978962,21.617712
-16.517607,-10.572794
-4.0637217,-14.805395
-6.0475707,-21.624937
-20.354063,15.053903
8.723829,26.972075
-41.63957,11.051929
-20.671127,-13.485527
33.546093,-0.26990142
-13.785667,-10.927928
-2.9203265,27.084064
-0.88871604,-15.05923
-6.481724,13.385384
-13.39708,-28.636337
27.885086,13.865583
22.44535,1.2975069
-14.035859,-22.169508
-5.4027276,25.261885
13.970173,25.403889
-37.22414,-16.113062
14.087235,19.783796
-41.822395,10.780229
-16.784885,-25.124268
19.754904,-12.17712
-38.260796,5.159297
-7.519805,10.823125
-2.9766057,-27.784641
10.7936945,23.009619
12.331067,28.545774
-43.28011,8.9337435
13.923031,9.8948
5.344146,5.1321373
-7.8633614,-31.295113
28.782856,13.747873
13.018086,20.619627
5.663998,14.867648
-19.450565,-14.845974
-5.56575,-23.037128
-26.620556,13.631549
15.654246,9.570636
-5.963139,12.908022
-35.976585,-14.378135
-20.321077,-15.730196
-1.8856816,-29.746567
7.7702765,4.84327
-22.305582,-19.298916
-35.95017,-15.148706
-6.0920606,7.0005064
17.161716,0.20523296
-4.760592,26.941486
-43.018333,12.696601
-6.0186777,13.3608055
16.21304,-1.1465766
17.447496,-20.483873
9.630242,26.623417
-8.905036,13.47881
-13.914848,-5.9521008
26.405586,2.4963589
-43.521385,12.141074
1.5295955,-27.198399
-18.542341,-19.154644
9.259267,26.19462
14.278861,20.56064
-15.29876,-11.515265
-17.312141,-22.387344
4.6839495,12.119595
12.756133,28.11504
-0.47611305,-16.122625
14.25978,21.833044
2.7984428,-24.188307
-12.685821,-11.854261
-0.9870389,-16.264778
-13.933046,-27.111855
-36.268284,-9.6139
24.56478,-13.782245
-13.397117,-28.636333
-9.52199,-29.455334
16.28212,-14.161263
-15.22689,-2.805733
